Date,Description,Merchant,Amount,Category
09-01-2026,Water Bill 09 Jan,Water Bill,892.0,Bills & Utilities
09-01-2026,Dosa Plaza 09 Jan,Dosa Plaza,259.0,Food & Dining
09-02-2026,Rapido 09 Feb,Rapido,148.0,Transport
09-02-2026,Broadband Bill 09 Feb,Broadband Bill,1099.0,Bills & Utilities
09-02-2026,Misc Expense 09 Feb,Misc Expense,956.0,Other
09-02-2026,Myntra 09 Feb,Myntra,2161.0,Shopping
09-02-2026,YouTube Premium 09 Feb,YouTube Premium,159.0,Subscriptions
09-02-2026,Zomato 09 Feb,Zomato,372.0,Food & Dining
09-03-2026,Uber 09 Mar,Uber,446.0,Transport
09-03-2026,Burger King 09 Mar,Burger King,587.0,Food & Dining
09-03-2026,Local Cafe 09 Mar,Local Cafe,135.0,Food & Dining
09-03-2026,Subway 09 Mar,Subway,373.0,Food & Dining
09-03-2026,DMart 09 Mar,DMart,1172.0,Groceries
09-03-2026,Blinkit 09 Mar,Blinkit,685.0,Groceries
09-04-2026,Local Grocer 09 Apr,Local Grocer,972.0,Groceries
09-04-2026,Ola 09 Apr,Ola,135.0,Transport
09-04-2026,Burger King 09 Apr,Burger King,287.0,Food & Dining
09-04-2026,Burger King 09 Apr,Burger King,325.0,Food & Dining
09-04-2026,Myntra 09 Apr,Myntra,2230.0,Shopping
09-04-2026,Reliance Fresh 09 Apr,Reliance Fresh,498.0,Groceries
09-04-2026,Mutual Fund 09 Apr,Mutual Fund,13852.0,Transfers
09-04-2026,Swiggy 09 Apr,Swiggy,399.0,Food & Dining
09-05-2026,DMart 09 May,DMart,2738.0,Groceries
09-05-2026,Local Grocer 09 May,Local Grocer,247.0,Groceries
09-05-2026,Misc Expense 09 May,Misc Expense,146.0,Other
09-05-2026,Blinkit 09 May,Blinkit,884.0,Groceries
09-05-2026,Myntra 09 May,Myntra,1896.0,Shopping
09-05-2026,Society Maintenance 09 May,Society Maintenance,3097.0,Bills & Utilities
09-05-2026,IKEA 09 May,IKEA,4906.0,Shopping
09-05-2026,Mutual Fund 09 May,Mutual Fund,4678.0,Transfers
09-05-2026,Zomato 09 May,Zomato,909.0,Food & Dining
09-06-2026,Local Cafe 09 Jun,Local Cafe,184.0,Food & Dining
09-06-2026,Swiggy 09 Jun,Swiggy,566.0,Food & Dining
09-06-2026,Swiggy 09 Jun,Swiggy,174.0,Food & Dining
09-06-2026,Airtel Recharge 09 Jun,Airtel Recharge,660.0,Bills & Utilities
09-06-2026,Pizza Hut 09 Jun,Pizza Hut,696.0,Food & Dining
10-01-2026,Decathlon 10 Jan,Decathlon,2878.0,Shopping
10-01-2026,Jio Recharge 10 Jan,Jio Recharge,605.0,Bills & Utilities
10-01-2026,DMart 10 Jan,DMart,1313.0,Groceries
10-01-2026,Big Basket 10 Jan,Big Basket,1950.0,Groceries
10-01-2026,UPI to Friend 10 Jan,UPI to Friend,2643.0,Transfers
10-01-2026,ATM Fee 10 Jan,ATM Fee,20.0,Other
10-01-2026,DMart 10 Jan,DMart,3299.0,Groceries
10-01-2026,Blinkit 10 Jan,Blinkit,490.0,Groceries
10-01-2026,Health Checkup 10 Jan,Health Checkup,1890.0,Healthcare
10-01-2026,Ajio 10 Jan,Ajio,960.0,Shopping
10-01-2026,Dosa Plaza 10 Jan,Dosa Plaza,378.0,Food & Dining
10-02-2026,Dominos 10 Feb,Dominos,332.0,Food & Dining
10-02-2026,Swiggy 10 Feb,Swiggy,506.0,Food & Dining
10-02-2026,Rent Transfer 10 Feb,Rent Transfer,29540.0,Transfers
10-02-2026,McDonalds 10 Feb,McDonalds,286.0,Food & Dining
10-02-2026,Local Store 10 Feb,Local Store,424.0,Shopping
10-02-2026,Mutual Fund 10 Feb,Mutual Fund,9052.0,Transfers
10-02-2026,Dosa Plaza 10 Feb,Dosa Plaza,218.0,Food & Dining
10-02-2026,Airtel Recharge 10 Feb,Airtel Recharge,987.0,Bills & Utilities
10-03-2026,Subway 10 Mar,Subway,406.0,Food & Dining
10-03-2026,BookMyShow 10 Mar,BookMyShow,656.0,Entertainment
10-03-2026,Apollo Pharmacy 10 Mar,Apollo Pharmacy,785.0,Healthcare
10-03-2026,Burger King 10 Mar,Burger King,286.0,Food & Dining
10-03-2026,PVR 10 Mar,PVR,1292.0,Entertainment
10-03-2026,PlayStation Store 10 Mar,PlayStation Store,3529.0,Entertainment
10-03-2026,Reliance Fresh 10 Mar,Reliance Fresh,1273.0,Groceries
10-03-2026,Swiggy 10 Mar,Swiggy,508.0,Food & Dining
10-03-2026,McDonalds 10 Mar,McDonalds,361.0,Food & Dining
10-03-2026,Uber Pool 10 Mar,Uber Pool,173.0,Transport
10-04-2026,McDonalds 10 Apr,McDonalds,387.0,Food & Dining
10-04-2026,Zomato Dining 10 Apr,Zomato Dining,1791.0,Entertainment
10-04-2026,Indian Oil 10 Apr,Indian Oil,1276.0,Transport
10-04-2026,Cash Withdrawal 10 Apr,Cash Withdrawal,1731.0,Other
10-04-2026,Dosa Plaza 10 Apr,Dosa Plaza,211.0,Food & Dining
10-05-2026,Blinkit 10 May,Blinkit,894.0,Groceries
10-05-2026,Zepto 10 May,Zepto,795.0,Groceries
10-05-2026,Credit Card Payment 10 May,Credit Card Payment,49624.0,Transfers
10-05-2026,Zomato Dining 10 May,Zomato Dining,1729.0,Entertainment
10-05-2026,Amazon 10 May,Amazon,3735.0,Shopping
10-05-2026,Local Cafe 10 May,Local Cafe,139.0,Food & Dining
10-05-2026,Local Cafe 10 May,Local Cafe,256.0,Food & Dining
10-05-2026,Local Grocer 10 May,Local Grocer,544.0,Groceries
10-05-2026,Subway 10 May,Subway,302.0,Food & Dining
10-05-2026,Indian Oil 10 May,Indian Oil,1189.0,Transport
10-05-2026,Jio Recharge 10 May,Jio Recharge,973.0,Bills & Utilities
10-05-2026,Swiggy 10 May,Swiggy,887.0,Food & Dining
10-05-2026,Local Cafe 10 May,Local Cafe,103.0,Food & Dining
10-05-2026,Apollo Pharmacy 10 May,Apollo Pharmacy,1203.0,Healthcare
10-05-2026,UPI to Friend 10 May,UPI to Friend,2198.0,Transfers
10-06-2026,Zepto 10 Jun,Zepto,482.0,Groceries
10-06-2026,Jio Recharge 10 Jun,Jio Recharge,460.0,Bills & Utilities
10-06-2026,McDonalds 10 Jun,McDonalds,421.0,Food & Dining
10-06-2026,UPI to Friend 10 Jun,UPI to Friend,1466.0,Transfers
10-06-2026,Blinkit 10 Jun,Blinkit,1406.0,Groceries
10-06-2026,Blinkit 10 Jun,Blinkit,795.0,Groceries
11-01-2026,Zepto 11 Jan,Zepto,799.0,Groceries
11-01-2026,Local Grocer 11 Jan,Local Grocer,371.0,Groceries
11-01-2026,Blinkit 11 Jan,Blinkit,392.0,Groceries
11-01-2026,IKEA 11 Jan,IKEA,1654.0,Shopping
11-01-2026,Credit Card Payment 11 Jan,Credit Card Payment,21471.0,Transfers
11-01-2026,Local Grocer 11 Jan,Local Grocer,937.0,Groceries
11-01-2026,Steam 11 Jan,Steam,1669.0,Entertainment
11-01-2026,Decathlon 11 Jan,Decathlon,2871.0,Shopping
11-01-2026,Rapido 11 Jan,Rapido,96.0,Transport
11-01-2026,Burger King 11 Jan,Burger King,761.0,Food & Dining
11-02-2026,Pizza Hut 11 Feb,Pizza Hut,874.0,Food & Dining
11-02-2026,Jio Recharge 11 Feb,Jio Recharge,553.0,Bills & Utilities
11-02-2026,Gym Membership 11 Feb,Gym Membership,2886.0,Subscriptions
11-02-2026,PlayStation Store 11 Feb,PlayStation Store,776.0,Entertainment
11-02-2026,Zomato 11 Feb,Zomato,240.0,Food & Dining
11-02-2026,Local Grocer 11 Feb,Local Grocer,541.0,Groceries
11-02-2026,Pizza Hut 11 Feb,Pizza Hut,417.0,Food & Dining
11-02-2026,iCloud 11 Feb,iCloud,157.0,Subscriptions
11-02-2026,Local Grocer 11 Feb,Local Grocer,896.0,Groceries
11-02-2026,ATM Fee 11 Feb,ATM Fee,26.0,Other
11-03-2026,Dominos 11 Mar,Dominos,692.0,Food & Dining
11-03-2026,Ola 11 Mar,Ola,165.0,Transport
11-03-2026,Local Cafe 11 Mar,Local Cafe,317.0,Food & Dining
11-03-2026,Practo 11 Mar,Practo,402.0,Healthcare
11-03-2026,Burger King 11 Mar,Burger King,421.0,Food & Dining
11-03-2026,Reliance Fresh 11 Mar,Reliance Fresh,559.0,Groceries
11-03-2026,Metro Card 11 Mar,Metro Card,79.0,Transport
11-03-2026,Dosa Plaza 11 Mar,Dosa Plaza,216.0,Food & Dining
11-03-2026,Local Grocer 11 Mar,Local Grocer,434.0,Groceries
11-04-2026,Local Cafe 11 Apr,Local Cafe,394.0,Food & Dining
11-04-2026,Ajio 11 Apr,Ajio,1959.0,Shopping
11-04-2026,Reliance Fresh 11 Apr,Reliance Fresh,2409.0,Groceries
11-04-2026,Dosa Plaza 11 Apr,Dosa Plaza,306.0,Food & Dining
11-04-2026,Cash Withdrawal 11 Apr,Cash Withdrawal,2768.0,Other
11-04-2026,Local Cafe 11 Apr,Local Cafe,186.0,Food & Dining
11-04-2026,Zomato 11 Apr,Zomato,221.0,Food & Dining
11-04-2026,Hotstar 11 Apr,Hotstar,620.0,Subscriptions
11-04-2026,Amazon Prime 11 Apr,Amazon Prime,1307.0,Subscriptions
11-04-2026,Electricity Board 11 Apr,Electricity Board,1397.0,Bills & Utilities
11-04-2026,Society Maintenance 11 Apr,Society Maintenance,2835.0,Bills & Utilities
11-05-2026,FD Deposit 11 May,FD Deposit,11959.0,Transfers
11-05-2026,Airtel Recharge 11 May,Airtel Recharge,337.0,Bills & Utilities
11-05-2026,Practo 11 May,Practo,823.0,Healthcare
11-06-2026,Dominos 11 Jun,Dominos,589.0,Food & Dining
11-06-2026,Zomato 11 Jun,Zomato,626.0,Food & Dining
11-06-2026,Dosa Plaza 11 Jun,Dosa Plaza,160.0,Food & Dining
12-01-2026,Zomato Dining 12 Jan,Zomato Dining,1169.0,Entertainment
12-01-2026,Nykaa 12 Jan,Nykaa,1342.0,Shopping
12-01-2026,Local Cafe 12 Jan,Local Cafe,159.0,Food & Dining
12-01-2026,Flipkart 12 Jan,Flipkart,2039.0,Shopping
12-01-2026,Google One 12 Jan,Google One,278.0,Subscriptions
12-01-2026,Spotify 12 Jan,Spotify,182.0,Subscriptions
12-01-2026,Zomato Dining 12 Jan,Zomato Dining,1197.0,Entertainment
12-01-2026,UPI to Friend 12 Jan,UPI to Friend,1424.0,Transfers
12-01-2026,Nykaa 12 Jan,Nykaa,1365.0,Shopping
12-01-2026,Health Checkup 12 Jan,Health Checkup,2037.0,Healthcare
12-02-2026,Misc Expense 12 Feb,Misc Expense,749.0,Other
12-02-2026,IKEA 12 Feb,IKEA,3786.0,Shopping
12-02-2026,DMart 12 Feb,DMart,1571.0,Groceries
12-02-2026,DMart 12 Feb,DMart,1118.0,Groceries
12-03-2026,Big Basket 12 Mar,Big Basket,1803.0,Groceries
12-03-2026,ATM Fee 12 Mar,ATM Fee,29.0,Other
12-03-2026,Burger King 12 Mar,Burger King,539.0,Food & Dining
12-03-2026,Zepto 12 Mar,Zepto,604.0,Groceries
12-03-2026,Rapido 12 Mar,Rapido,54.0,Transport
12-03-2026,Myntra 12 Mar,Myntra,2686.0,Shopping
12-03-2026,Local Store 12 Mar,Local Store,348.0,Shopping
12-03-2026,Zepto 12 Mar,Zepto,953.0,Groceries
12-03-2026,Pizza Hut 12 Mar,Pizza Hut,408.0,Food & Dining
12-03-2026,Doctor Visit 12 Mar,Doctor Visit,1841.0,Healthcare
12-04-2026,Local Store 12 Apr,Local Store,210.0,Shopping
12-04-2026,IKEA 12 Apr,IKEA,1510.0,Shopping
12-04-2026,Rent Transfer 12 Apr,Rent Transfer,22333.0,Transfers
12-04-2026,Dominos 12 Apr,Dominos,769.0,Food & Dining
12-04-2026,DMart 12 Apr,DMart,1889.0,Groceries
12-04-2026,UPI to Friend 12 Apr,UPI to Friend,546.0,Transfers
12-04-2026,Water Bill 12 Apr,Water Bill,435.0,Bills & Utilities
12-04-2026,Local Cafe 12 Apr,Local Cafe,337.0,Food & Dining
12-04-2026,Dominos 12 Apr,Dominos,962.0,Food & Dining
12-04-2026,Broadband Bill 12 Apr,Broadband Bill,1265.0,Bills & Utilities
12-05-2026,Burger King 12 May,Burger King,590.0,Food & Dining
12-05-2026,Local Cafe 12 May,Local Cafe,297.0,Food & Dining
12-05-2026,Indian Oil 12 May,Indian Oil,1654.0,Transport
12-05-2026,Big Basket 12 May,Big Basket,1098.0,Groceries
12-05-2026,Amazon Prime 12 May,Amazon Prime,877.0,Subscriptions
12-05-2026,DMart 12 May,DMart,1329.0,Groceries
12-05-2026,Local Cafe 12 May,Local Cafe,294.0,Food & Dining
12-05-2026,Reliance Fresh 12 May,Reliance Fresh,1600.0,Groceries
12-06-2026,Subway 12 Jun,Subway,322.0,Food & Dining
12-06-2026,Uber Pool 12 Jun,Uber Pool,127.0,Transport
12-06-2026,Practo 12 Jun,Practo,529.0,Healthcare
12-06-2026,Credit Card Payment 12 Jun,Credit Card Payment,13922.0,Transfers
12-06-2026,Pizza Hut 12 Jun,Pizza Hut,767.0,Food & Dining
12-06-2026,Reliance Fresh 12 Jun,Reliance Fresh,1406.0,Groceries
13-01-2026,Blinkit 13 Jan,Blinkit,1283.0,Groceries
13-01-2026,Rent Payment 13 Jan,Rent Payment,8332.0,Bills & Utilities
13-01-2026,Burger King 13 Jan,Burger King,393.0,Food & Dining
13-01-2026,McDonalds 13 Jan,McDonalds,315.0,Food & Dining
13-02-2026,Zomato 13 Feb,Zomato,426.0,Food & Dining
13-02-2026,Metro Card 13 Feb,Metro Card,90.0,Transport
13-02-2026,Blinkit 13 Feb,Blinkit,358.0,Groceries
13-02-2026,Steam 13 Feb,Steam,2103.0,Entertainment
13-03-2026,Zomato 13 Mar,Zomato,565.0,Food & Dining
13-03-2026,Burger King 13 Mar,Burger King,493.0,Food & Dining
13-03-2026,Nykaa 13 Mar,Nykaa,316.0,Shopping
13-03-2026,Netflix 13 Mar,Netflix,713.0,Subscriptions
13-04-2026,IKEA 13 Apr,IKEA,3526.0,Shopping
13-04-2026,Nykaa 13 Apr,Nykaa,1994.0,Shopping
13-04-2026,Nykaa 13 Apr,Nykaa,709.0,Shopping
13-04-2026,Gym Membership 13 Apr,Gym Membership,2072.0,Subscriptions
13-04-2026,Local Cafe 13 Apr,Local Cafe,106.0,Food & Dining
13-04-2026,Broadband Bill 13 Apr,Broadband Bill,1323.0,Bills & Utilities
13-05-2026,Credit Card Payment 13 May,Credit Card Payment,9992.0,Transfers
13-05-2026,Random 13 May,Random,349.0,Other
13-05-2026,DMart 13 May,DMart,2570.0,Groceries
13-05-2026,Burger King 13 May,Burger King,398.0,Food & Dining
13-06-2026,Cash Withdrawal 13 Jun,Cash Withdrawal,2928.0,Other
13-06-2026,Gym Membership 13 Jun,Gym Membership,2604.0,Subscriptions
13-06-2026,Subway 13 Jun,Subway,473.0,Food & Dining
13-06-2026,FD Deposit 13 Jun,FD Deposit,15618.0,Transfers
13-06-2026,Uber 13 Jun,Uber,444.0,Transport
13-06-2026,Amazon 13 Jun,Amazon,4889.0,Shopping
13-06-2026,Uber 13 Jun,Uber,246.0,Transport
13-06-2026,Metro Card 13 Jun,Metro Card,41.0,Transport
13-06-2026,Local Cafe 13 Jun,Local Cafe,202.0,Food & Dining
13-06-2026,Swiggy 13 Jun,Swiggy,670.0,Food & Dining
13-06-2026,Ola 13 Jun,Ola,305.0,Transport
13-06-2026,Burger King 13 Jun,Burger King,370.0,Food & Dining
13-06-2026,FD Deposit 13 Jun,FD Deposit,11380.0,Transfers
14-01-2026,FD Deposit 14 Jan,FD Deposit,20070.0,Transfers
14-01-2026,Society Maintenance 14 Jan,Society Maintenance,3008.0,Bills & Utilities
14-01-2026,Burger King 14 Jan,Burger King,420.0,Food & Dining
14-02-2026,Electricity Board 14 Feb,Electricity Board,1402.0,Bills & Utilities
14-02-2026,Zomato Dining 14 Feb,Zomato Dining,695.0,Entertainment
14-02-2026,Local Grocer 14 Feb,Local Grocer,775.0,Groceries
14-02-2026,Nykaa 14 Feb,Nykaa,1092.0,Shopping
14-02-2026,Dominos 14 Feb,Dominos,574.0,Food & Dining
14-02-2026,Random 14 Feb,Random,301.0,Other
14-02-2026,Subway 14 Feb,Subway,504.0,Food & Dining
14-02-2026,Society Maintenance 14 Feb,Society Maintenance,2937.0,Bills & Utilities
14-03-2026,Uber 14 Mar,Uber,344.0,Transport
14-03-2026,BPCL 14 Mar,BPCL,2071.0,Transport
14-03-2026,Ola 14 Mar,Ola,294.0,Transport
14-03-2026,Credit Card Payment 14 Mar,Credit Card Payment,29342.0,Transfers
14-03-2026,UPI to Friend 14 Mar,UPI to Friend,5118.0,Transfers
14-03-2026,Ajio 14 Mar,Ajio,1562.0,Shopping
14-03-2026,ATM Fee 14 Mar,ATM Fee,28.0,Other
14-03-2026,Credit Card Payment 14 Mar,Credit Card Payment,47622.0,Transfers
14-03-2026,Local Grocer 14 Mar,Local Grocer,554.0,Groceries
14-03-2026,McDonalds 14 Mar,McDonalds,472.0,Food & Dining
14-03-2026,Blinkit 14 Mar,Blinkit,1017.0,Groceries
14-03-2026,Credit Card Payment 14 Mar,Credit Card Payment,7284.0,Transfers
14-04-2026,McDonalds 14 Apr,McDonalds,296.0,Food & Dining
14-04-2026,Subway 14 Apr,Subway,333.0,Food & Dining
14-04-2026,Hotstar 14 Apr,Hotstar,1338.0,Subscriptions
14-05-2026,Steam 14 May,Steam,337.0,Entertainment
14-05-2026,Uber 14 May,Uber,233.0,Transport
14-05-2026,Subway 14 May,Subway,388.0,Food & Dining
14-05-2026,Swiggy 14 May,Swiggy,259.0,Food & Dining
14-06-2026,Dominos 14 Jun,Dominos,560.0,Food & Dining
14-06-2026,Dosa Plaza 14 Jun,Dosa Plaza,234.0,Food & Dining
14-06-2026,Zepto 14 Jun,Zepto,753.0,Groceries
14-06-2026,Ola 14 Jun,Ola,275.0,Transport
14-06-2026,Steam 14 Jun,Steam,1520.0,Entertainment
14-06-2026,Local Grocer 14 Jun,Local Grocer,633.0,Groceries
14-06-2026,Dental Clinic 14 Jun,Dental Clinic,2880.0,Healthcare
14-06-2026,Zomato 14 Jun,Zomato,793.0,Food & Dining
14-06-2026,Spotify 14 Jun,Spotify,134.0,Subscriptions
15-01-2026,Zomato Dining 15 Jan,Zomato Dining,729.0,Entertainment
15-01-2026,Society Maintenance 15 Jan,Society Maintenance,2668.0,Bills & Utilities
15-01-2026,Rapido 15 Jan,Rapido,101.0,Transport
15-01-2026,Myntra 15 Jan,Myntra,2667.0,Shopping
15-01-2026,Dosa Plaza 15 Jan,Dosa Plaza,158.0,Food & Dining
15-01-2026,Airtel Recharge 15 Jan,Airtel Recharge,494.0,Bills & Utilities
15-01-2026,PlayStation Store 15 Jan,PlayStation Store,568.0,Entertainment
15-01-2026,ATM Fee 15 Jan,ATM Fee,22.0,Other
15-01-2026,Misc Expense 15 Jan,Misc Expense,767.0,Other
15-02-2026,IKEA 15 Feb,IKEA,6898.0,Shopping
15-02-2026,Blinkit 15 Feb,Blinkit,606.0,Groceries
15-02-2026,Rent Transfer 15 Feb,Rent Transfer,11607.0,Transfers
15-02-2026,Burger King 15 Feb,Burger King,652.0,Food & Dining
15-02-2026,Rent Transfer 15 Feb,Rent Transfer,12924.0,Transfers
15-02-2026,PlayStation Store 15 Feb,PlayStation Store,1541.0,Entertainment
15-02-2026,Pizza Hut 15 Feb,Pizza Hut,795.0,Food & Dining
15-02-2026,Indian Oil 15 Feb,Indian Oil,2184.0,Transport
15-02-2026,Local Store 15 Feb,Local Store,425.0,Shopping
15-02-2026,Apollo Pharmacy 15 Feb,Apollo Pharmacy,259.0,Healthcare
15-03-2026,Swiggy 15 Mar,Swiggy,842.0,Food & Dining
15-03-2026,Misc Expense 15 Mar,Misc Expense,66.0,Other
15-03-2026,Pizza Hut 15 Mar,Pizza Hut,1305.0,Food & Dining
15-03-2026,Myntra 15 Mar,Myntra,799.0,Shopping
15-03-2026,Reliance Fresh 15 Mar,Reliance Fresh,1686.0,Groceries
15-03-2026,Dosa Plaza 15 Mar,Dosa Plaza,249.0,Food & Dining
15-03-2026,Zomato 15 Mar,Zomato,635.0,Food & Dining
15-03-2026,Local Grocer 15 Mar,Local Grocer,629.0,Groceries
15-03-2026,Hotstar 15 Mar,Hotstar,369.0,Subscriptions
15-03-2026,Subway 15 Mar,Subway,564.0,Food & Dining
15-04-2026,Swiggy 15 Apr,Swiggy,230.0,Food & Dining
15-04-2026,McDonalds 15 Apr,McDonalds,473.0,Food & Dining
15-04-2026,Netflix 15 Apr,Netflix,959.0,Subscriptions
15-04-2026,Burger King 15 Apr,Burger King,476.0,Food & Dining
15-05-2026,Netflix 15 May,Netflix,876.0,Subscriptions
15-05-2026,Swiggy 15 May,Swiggy,278.0,Food & Dining
15-05-2026,Doctor Visit 15 May,Doctor Visit,1796.0,Healthcare
15-05-2026,Health Checkup 15 May,Health Checkup,1925.0,Healthcare
15-05-2026,Uber 15 May,Uber,127.0,Transport
15-06-2026,DMart 15 Jun,DMart,1726.0,Groceries
15-06-2026,McDonalds 15 Jun,McDonalds,450.0,Food & Dining
15-06-2026,Local Grocer 15 Jun,Local Grocer,716.0,Groceries
15-06-2026,Indian Oil 15 Jun,Indian Oil,2946.0,Transport
15-06-2026,Reliance Fresh 15 Jun,Reliance Fresh,2408.0,Groceries
15-06-2026,Zepto 15 Jun,Zepto,993.0,Groceries
15-06-2026,Nykaa 15 Jun,Nykaa,1079.0,Shopping
15-06-2026,Water Bill 15 Jun,Water Bill,831.0,Bills & Utilities
16-01-2026,Steam 16 Jan,Steam,592.0,Entertainment
16-01-2026,BPCL 16 Jan,BPCL,1591.0,Transport
16-01-2026,Local Grocer 16 Jan,Local Grocer,926.0,Groceries
16-01-2026,DMart 16 Jan,DMart,2440.0,Groceries
16-02-2026,Zomato 16 Feb,Zomato,225.0,Food & Dining
16-02-2026,McDonalds 16 Feb,McDonalds,340.0,Food & Dining
16-02-2026,Cash Withdrawal 16 Feb,Cash Withdrawal,3923.0,Other
16-02-2026,Ajio 16 Feb,Ajio,2422.0,Shopping
16-02-2026,Amazon 16 Feb,Amazon,538.0,Shopping
16-02-2026,Burger King 16 Feb,Burger King,427.0,Food & Dining
16-02-2026,Subway 16 Feb,Subway,317.0,Food & Dining
16-02-2026,DMart 16 Feb,DMart,2747.0,Groceries
16-03-2026,Blinkit 16 Mar,Blinkit,433.0,Groceries
16-03-2026,Dominos 16 Mar,Dominos,484.0,Food & Dining
16-03-2026,Zomato 16 Mar,Zomato,314.0,Food & Dining
16-03-2026,Zomato 16 Mar,Zomato,448.0,Food & Dining
16-03-2026,UPI to Friend 16 Mar,UPI to Friend,1072.0,Transfers
16-03-2026,Dominos 16 Mar,Dominos,675.0,Food & Dining
16-03-2026,Swiggy 16 Mar,Swiggy,260.0,Food & Dining
16-04-2026,UPI to Friend 16 Apr,UPI to Friend,1882.0,Transfers
16-04-2026,Swiggy 16 Apr,Swiggy,439.0,Food & Dining
16-04-2026,Decathlon 16 Apr,Decathlon,1607.0,Shopping
16-04-2026,Electricity Board 16 Apr,Electricity Board,2252.0,Bills & Utilities
16-04-2026,Pizza Hut 16 Apr,Pizza Hut,591.0,Food & Dining
16-04-2026,Practo 16 Apr,Practo,386.0,Healthcare
16-04-2026,Broadband Bill 16 Apr,Broadband Bill,865.0,Bills & Utilities
16-04-2026,Gym Membership 16 Apr,Gym Membership,2936.0,Subscriptions
16-04-2026,Flipkart 16 Apr,Flipkart,1497.0,Shopping
16-04-2026,McDonalds 16 Apr,McDonalds,241.0,Food & Dining
16-05-2026,Swiggy 16 May,Swiggy,619.0,Food & Dining
16-05-2026,Gym Membership 16 May,Gym Membership,2438.0,Subscriptions
16-05-2026,Reliance Fresh 16 May,Reliance Fresh,1963.0,Groceries
16-05-2026,Misc Expense 16 May,Misc Expense,947.0,Other
16-05-2026,Uber 16 May,Uber,116.0,Transport
16-05-2026,Local Grocer 16 May,Local Grocer,690.0,Groceries
16-05-2026,Ola 16 May,Ola,182.0,Transport
16-05-2026,Burger King 16 May,Burger King,677.0,Food & Dining
16-06-2026,ATM Fee 16 Jun,ATM Fee,21.0,Other
16-06-2026,Zepto 16 Jun,Zepto,433.0,Groceries
16-06-2026,Blinkit 16 Jun,Blinkit,931.0,Groceries
16-06-2026,Dosa Plaza 16 Jun,Dosa Plaza,223.0,Food & Dining
16-06-2026,ATM Fee 16 Jun,ATM Fee,26.0,Other
16-06-2026,Credit Card Payment 16 Jun,Credit Card Payment,28695.0,Transfers
17-01-2026,Ajio 17 Jan,Ajio,614.0,Shopping
17-01-2026,Metro Card 17 Jan,Metro Card,73.0,Transport
17-01-2026,Spotify 17 Jan,Spotify,183.0,Subscriptions
17-01-2026,Parking 17 Jan,Parking,26.0,Transport
17-01-2026,PlayStation Store 17 Jan,PlayStation Store,869.0,Entertainment
17-01-2026,Mutual Fund 17 Jan,Mutual Fund,7366.0,Transfers
17-01-2026,Rapido 17 Jan,Rapido,129.0,Transport
17-01-2026,Apollo Pharmacy 17 Jan,Apollo Pharmacy,563.0,Healthcare
17-02-2026,FD Deposit 17 Feb,FD Deposit,20277.0,Transfers
17-02-2026,Subway 17 Feb,Subway,249.0,Food & Dining
17-02-2026,Uber Pool 17 Feb,Uber Pool,105.0,Transport
17-02-2026,Swiggy 17 Feb,Swiggy,212.0,Food & Dining
17-02-2026,Credit Card Payment 17 Feb,Credit Card Payment,19952.0,Transfers
17-02-2026,Random 17 Feb,Random,249.0,Other
17-02-2026,Zomato Dining 17 Feb,Zomato Dining,1521.0,Entertainment
17-02-2026,Subway 17 Feb,Subway,313.0,Food & Dining
17-02-2026,DMart 17 Feb,DMart,1660.0,Groceries
17-02-2026,Swiggy 17 Feb,Swiggy,531.0,Food & Dining
17-03-2026,Metro Card 17 Mar,Metro Card,82.0,Transport
17-03-2026,Uber 17 Mar,Uber,480.0,Transport
17-03-2026,Credit Card Payment 17 Mar,Credit Card Payment,8764.0,Transfers
17-03-2026,Reliance Fresh 17 Mar,Reliance Fresh,2495.0,Groceries
17-03-2026,Zomato Dining 17 Mar,Zomato Dining,1059.0,Entertainment
17-03-2026,Pizza Hut 17 Mar,Pizza Hut,833.0,Food & Dining
17-03-2026,Credit Card Payment 17 Mar,Credit Card Payment,21160.0,Transfers
17-03-2026,McDonalds 17 Mar,McDonalds,325.0,Food & Dining
17-03-2026,Pizza Hut 17 Mar,Pizza Hut,404.0,Food & Dining
17-04-2026,Rent Transfer 17 Apr,Rent Transfer,5211.0,Transfers
17-04-2026,Blinkit 17 Apr,Blinkit,1126.0,Groceries
17-04-2026,Parking 17 Apr,Parking,97.0,Transport
17-04-2026,Metro Card 17 Apr,Metro Card,79.0,Transport
17-04-2026,Zomato 17 Apr,Zomato,650.0,Food & Dining
17-04-2026,IKEA 17 Apr,IKEA,3500.0,Shopping
17-04-2026,Zomato 17 Apr,Zomato,325.0,Food & Dining
17-04-2026,Broadband Bill 17 Apr,Broadband Bill,1015.0,Bills & Utilities
17-04-2026,PVR 17 Apr,PVR,526.0,Entertainment
17-05-2026,Dominos 17 May,Dominos,891.0,Food & Dining
17-05-2026,ATM Fee 17 May,ATM Fee,26.0,Other
17-05-2026,Electricity Board 17 May,Electricity Board,829.0,Bills & Utilities
17-05-2026,Random 17 May,Random,221.0,Other
17-05-2026,Blinkit 17 May,Blinkit,1145.0,Groceries
17-05-2026,Subway 17 May,Subway,651.0,Food & Dining
17-05-2026,PVR 17 May,PVR,740.0,Entertainment
17-05-2026,Zepto 17 May,Zepto,1119.0,Groceries
17-05-2026,BPCL 17 May,BPCL,1909.0,Transport
17-06-2026,Google One 17 Jun,Google One,463.0,Subscriptions
